DEPTH,AC,CAL,CNL,DEN,GR,RT,RXO,SP
2500.0,254.5,20.5,0.19,2.5033333333333334,70.0,45,8,-16.0
2500.125,254.73306336536086,20.5,0.19066589532960249,2.502223507783996,70.66589532960248,45,8,-15.866820934079504
2500.25,254.96450917154155,20.5,0.19132716906154731,2.5011213848974214,71.32716906154732,45,8,-15.734566187690536
2500.375,255.19273108591267,20.5,0.1919792316740362,2.5000346138766063,71.97923167403619,45,8,-15.604153665192763
2500.5,255.4161451510292,20.5,0.1926175575743692,2.4989707373760512,72.61755757436921,45,8,-15.476488485126158
2500.625,255.63320077797115,20.5,0.19323771650848898,2.4979371391525182,73.237716508489,45,8,-15.3524566983022
2500.75,275.09239150809174,20.5,0.24883540430883364,2.405274326151944,128.83540430883363,4,8,-4.2329191382332745
2500.875,275.2922654684835,20.5,0.24940647276709574,2.404322545388174,129.40647276709575,4,8,-4.118705446580851
2501.0,275.4814354485953,20.5,0.24994695842455789,2.4034217359590704,129.9469584245579,4,8,-4.010608315088422
2501.125,275.6585885280653,20.5,0.25045311008018667,2.402578149866356,130.45311008018666,4,8,-3.909377983962667
2501.25,275.8224951889489,20.5,0.2509214148255683,2.401797641957386,130.9214148255683,4,8,-3.8157170348863403
2501.375,275.972017849097,20.5,0.25134862242599154,2.401085629290014,131.34862242599155,4,8,-3.73027551480169
2501.5,276.1061187574621,20.5,0.2517317678784632,2.400447053535895,131.73176787846316,4,8,-3.653646424307368
2501.625,276.22386719653275,20.5,0.2520681919900936,2.3998863466831772,132.06819199009362,4,8,-3.586361601981274
2501.75,276.32444594191054,20.5,0.25235555983403,2.399407400276617,132.35555983403003,4,8,-3.5288880331939936
2501.875,276.40715693419565,20.5,0.25259187695484464,2.3990135384085924,132.59187695484468,4,8,-3.4816246090310656
2502.0,276.47142612381725,20.5,0.25277550321090647,2.398707494648489,132.7755032109065,4,8,-3.444899357818702
2502.125,276.5168074551823,20.5,0.2529051641576636,2.398491393070561,132.90516415766365,4,8,-3.418967168467269
2502.25,276.54298596249134,20.5,0.2529799598928324,2.398366733511946,132.97995989283243,4,8,-3.4040080214335156
2502.375,276.549779955736,20.5,0.252999371302103,2.3983343811631617,132.999371302103,4,8,-3.4001257395794013
2502.5,276.537142281705,20.5,0.25296326366201416,2.3983945605633097,132.96326366201413,4,8,-3.4073472675971743
2502.625,276.505160651247,20.5,0.25287188757499146,2.398546854041681,132.8718875749915,4,8,-3.4256224850017034
2502.75,276.45405703052097,20.5,0.25272587723006,2.398790204616567,132.72587723006,4,8,-3.454824553987997
2502.875,276.38418610045545,20.5,0.2525262460013013,2.3991229233311646,132.5262460013013,4,8,-3.494750799739741
2503.0,276.2960327951119,20.5,0.25227437941460545,2.399542700975658,132.27437941460545,4,8,-3.5451241170789096
2503.125,276.19020893603556,20.5,0.25197202553153014,2.4000466241141165,131.97202553153014,4,8,-3.605594893693972
2503.25,276.0674489859527,20.5,0.2516212828170077,2.4006311953049875,131.62128281700768,4,8,-3.675743436598463
2503.375,275.92860495128616,20.5,0.25122458557510335,2.4012923573748277,131.22458557510336,4,8,-3.755082884979327
2503.5,275.7746404688673,20.5,0.25078468705390655,2.4020255215768223,130.7846870539066,4,8,-3.8430625892186825
2503.625,275.60662411788513,20.5,0.25030464033681465,2.4028255994386423,130.30464033681469,4,8,-3.939071932637063
2503.75,275.4257220034911,20.5,0.24978777715283165,2.403687038078614,129.78777715283167,4,8,-4.042444569433666
2503.875,275.2331896635317,20.5,0.24923768475294758,2.4046038587450873,129.2376847529476,4,8,-4.152463049410482
2504.0,275.0303633545803,20.5,0.2486581810130865,2.4055696983115227,128.6581810130865,4,8,-4.2683637973826976
2504.125,255.56865077774654,20.5,0.19305328793641865,2.498244520105969,73.05328793641866,45,8,-15.38934241271627
2504.25,255.34952130863,20.5,0.19242720373894284,2.4992879937684287,72.42720373894285,45,8,-15.51455925221143
2504.375,255.12449579922674,20.5,0.19178427371207638,2.500359543813206,71.78427371207638,45,8,-15.643145257584724
2504.5,254.8951360225676,20.5,0.19112896006447894,2.501451733225869,71.12896006447893,45,8,-15.774207987104214
2504.625,254.66303383334733,20.5,0.1904658109524209,2.502556981745965,70.46581095242091,45,8,-15.906837809515817
2504.75,254.42980011977352,20.5,0.18979942891363866,2.503667618477269,69.79942891363865,45,8,-16.04011421727227
2504.875,254.1970536233157,20.5,0.18913443892375914,2.504775935127068,69.13443892375913,45,8,-16.173112215248175
2505.0,253.96640970394864,20.5,0.1884754562969961,2.5058742395050064,68.47545629699611,45,8,-16.304908740600776
2505.125,253.7394691288652,20.5,0.1878270546539006,2.5069549089101657,67.82705465390059,45,8,-16.434589069219882
2505.25,253.51780696246905,20.5,0.18719373417848303,2.508010443035862,67.19373417848304,45,8,-16.56125316430339
2505.375,253.30296163475583,20.5,0.18657989038501668,2.509033516024972,66.57989038501668,45,8,-16.684021922996664
2505.5,253.09642426395263,20.5,0.18598978361129326,2.5100170273145115,65.98978361129325,45,8,-16.80204327774135
2505.625,252.89962830752143,20.5,0.18542750945006126,2.5109541509165645,65.42750945006125,45,8,-16.91449810998775
2505.75,252.7139396133528,20.5,0.1848969703238652,2.511838382793558,64.89697032386519,45,8,-17.02060593522696
2505.875,252.54064694019888,20.5,0.18440184840056822,2.512663585999053,64.40184840056824,45,8,-17.11963031988635
2506.0,252.3809530131378,20.5,0.18394558003753658,2.5134240332707725,63.94558003753657,45,8,-17.210883992492686
2506.125,252.23596617614862,20.5,0.18353133193185317,2.514114446780245,63.53133193185318,45,8,-17.293733613629364
2506.25,252.10669269973124,20.5,0.18316197914208926,2.5147300347631845,63.16197914208928,45,8,-17.367604171582144
2506.375,251.99402979695998,20.5,0.18284008513417133,2.515266524776381,62.84008513417133,45,8,-17.431982973165734
2506.5,251.89875939644187,20.5,0.1825678839898339,2.515720193350277,62.5678839898339,45,8,-17.48642320203322
2506.625,251.82154271539878,20.5,0.1823472649011394,2.516087891831434,62.347264901139404,45,8,-17.53054701977212
2506.75,251.76291567053772,20.5,0.18217975905867922,2.516367068235535,62.179759058679224,45,8,-17.564048188264156
2506.875,,20.5,0.18206652902445786,2.516555784959237,62.06652902445785,45,8,-17.58669419510843
2507.0,,20.5,0.18200836066321657,2.5166527322279726,62.00836066321657,45,8,-17.598327867356687
2507.125,,20.5,0.182005657688197,2.5166572371863385,62.005657688196976,45,8,-17.598868462360606
2507.25,,20.5,0.18205843885919878,2.516569268568002,62.05843885919878,45,8,-17.588312228160245
2507.375,,20.5,0.18216633785237885,2.5163894369127022,62.16633785237884,45,8,-17.566732429524233
2507.5,,20.5,0.1823286058026949,2.516118990328842,62.328605802694895,45,8,-17.53427883946102
2507.625,,20.5,0.18254411650134844,2.515759805831086,62.54411650134843,45,8,-17.491176699730314
2507.75,,20.5,0.18281137421215415,2.5153143763130763,62.81137421215416,45,8,-17.43772515756917
2507.875,,20.5,0.18312852405258728,2.514785793245688,63.12852405258727,45,8,-17.374295189482545
2508.0,,20.5,0.18349336486745937,2.514177725220901,63.49336486745936,45,8,-17.301327026508126
2508.125,,20.5,0.18390336450587455,2.5134943924902093,63.903364505874556,45,8,-17.21932709882509
2508.25,,20.5,0.18435567739543687,2.512740537674272,64.35567739543687,45,8,-17.128864520912625
2508.375,,20.5,0.18484716429173653,2.511921392847106,64.84716429173655,45,8,-17.03056714165269
2508.5,,20.5,0.18537441406604555,2.5110426432232575,65.37441406604553,45,8,-16.925117186790892
2508.625,,20.5,0.18593376738000594,2.5101103876999904,65.93376738000593,45,8,-16.813246523998814
2508.75,,20.5,0.18652134208299936,2.5091310965283347,66.52134208299938,45,8,-16.695731583400125
2508.875,,20.5,0.1871330601559284,2.508111566406786,67.1330601559284,45,8,-16.57338796881432
2509.0,,20.5,0.1877646760144086,2.5070588733093193,67.7646760144086,45,8,-16.44706479711828
2509.125,,20.5,0.1884118059749355,2.5059803233751077,68.4118059749355,45,8,-16.317638805012898
2509.25,,20.5,0.18906995867951815,2.5048834022008033,69.06995867951817,45,8,-16.186008264096365
2509.375,,20.5,0.18973456626761953,2.5037757228873008,69.73456626761954,45,8,-16.05308674647609
2509.5,,20.5,0.19040101607905738,2.502664973201571,70.40101607905738,45,8,-15.919796784188524
2509.625,,20.5,0.19106468266783355,2.5015588622202776,71.06468266783355,45,8,-15.78706346643329
2509.75,,20.5,0.1917209599047025,2.500465066825496,71.72095990470253,45,8,-15.655808019059496
2509.875,,20.5,0.19236529294567328,2.499391178423878,72.36529294567329,45,8,-15.526941410865343
2510.0,,20.5,0.19299320984456975,2.4983446502590505,72.99320984456976,45,8,-15.401358031086048
2510.125,,20.5,0.24860035259024493,2.4056660790162585,128.60035259024494,4,8,-4.279929481951012
2510.25,,20.5,0.24918250735303743,2.404695821078271,129.18250735303744,4,8,-4.163498529392513
2510.375,,20.5,0.2497356337305469,2.403773943782422,129.7356337305469,4,8,-4.052873253890617
2510.5,,20.5,0.2502558927897503,2.402906845350416,130.2558927897503,4,8,-3.9488214420499403
2510.625,,20.5,0.25073967371083483,2.4021005438152754,130.73967371083486,4,8,-3.8520652578330257
2510.75,,20.5,0.25118361884782786,2.4013606352536203,131.18361884782786,4,8,-3.7632762304344283
2510.875,,20.5,0.25158464703209205,2.4006922549465135,131.58464703209205,4,8,-3.68307059358159
2511.0,,20.5,0.2519399749569504,2.400100041738416,131.93997495695044,4,8,-3.6120050086099127
2511.125,,20.5,0.25224713649502206,2.39958810584163,132.24713649502206,4,8,-3.5505727009955876
2511.25,,20.5,0.2525039998141979,2.3991600003096702,132.50399981419793,4,8,-3.4992000371604135
2511.375,,20.5,0.25270878217346526,2.3988186963775577,132.7087821734653,4,8,-3.4582435653069403
2511.5,,20.5,0.252860062295891,2.3985665628401818,132.860062295891,4,8,-3.4279875408217997
2511.625,,20.5,0.2529567902328894,2.398405349611851,132.9567902328894,4,8,-3.4086419534221193
2511.75,,20.5,0.25299829465131374,2.398336175581144,132.99829465131376,4,8,-3.400341069737248
2511.875,,20.5,0.25298428749279445,2.3983595208453425,132.98428749279446,4,8,-3.4031425014411063
2512.0,,20.5,0.25291486597298707,2.398475223378355,132.91486597298706,4,8,-3.417026805402589
2512.125,,20.5,0.25279051190685414,2.398682480155243,132.79051190685414,4,8,-3.4418976186291736
2512.25,,20.5,0.252612088364664,2.39897985272556,132.612088364664,4,8,-3.4775823270672
2512.375,,20.5,0.2523808336819147,2.399365277196809,132.3808336819147,4,8,-3.523833263617057
2512.5,,20.5,0.25209835286475757,2.3998360785587374,132.09835286475754,4,8,-3.5803294270484898
2512.625,,20.5,0.2517666064505696,2.4003889892490506,131.76660645056958,4,8,-3.646678709886082
2512.75,,20.5,0.25138789690098795,2.401020171831687,131.38789690098793,4,8,-3.7224206198024135
2512.875,275.8376984176453,20.5,0.25096485262184376,2.4017252456302605,130.96485262184373,4,8,-3.8070294756312535
2513.0,275.67514340231656,20.5,0.2505004097209045,2.402499317131826,130.50040972090449,4,8,-3.8999180558191036
2513.125,275.4992270705117,20.5,0.24999779163003352,2.4033370139499444,129.99779163003353,4,8,-4.0004416739932935
2513.25,275.31117035661924,20.5,0.24946048673319782,2.404232522111337,129.46048673319783,4,8,-4.1079026533604335
2513.375,275.1122784544583,20.5,0.2488922241555951,2.4051796264073415,128.8922241555951,4,8,-4.221555168880979
2513.5,255.65393175867692,20.5,0.19329694788193405,2.4978384201967767,73.29694788193406,45,8,-15.340610423613189
2513.625,255.43757628422435,20.5,0.19267878938349808,2.4988686843608368,72.6787893834981,45,8,-15.46424212330038
2513.75,255.21471363039024,20.5,0.19204203894397215,2.49992993509338,72.04203894397214,45,8,-15.59159221120557
2513.875,254.98689055906522,20.5,0.19139111588304347,2.5010148068615945,71.39111588304347,45,8,-15.721776823391306
2514.0,254.7556882595533,20.5,0.190730537884438,2.5021157701926033,70.730537884438,45,8,-15.853892423112402
2514.125,254.52271137444376,20.5,0.1900648896412679,2.50322518393122,70.0648896412679,45,8,-15.98702207174642
2514.25,254.28957686270692,20.5,0.18939879103630552,2.504335348272824,69.39879103630552,45,8,-16.120241792738895
2514.375,254.05790277730918,20.5,0.18873686507802628,2.5054385582032896,68.73686507802627,45,8,-16.252626984394745
2514.5,253.8292970352351,20.5,0.18808370581495748,2.506527156975071,68.08370581495747,45,8,-16.383258837008505
2514.625,253.60534625785763,20.5,0.1874438464510218,2.5075935892482972,67.44384645102181,45,8,-16.511230709795637
2514.75,253.3876047591089,20.5,0.1868217278831683,2.508630453528053,66.82172788316831,45,8,-16.63565442336634
2514.875,253.17758375787852,20.5,0.18622166787965294,2.509630553533912,66.22166787965294,45,8,-16.75566642406941
2515.0,252.97674088950976,20.5,0.18564783111288502,2.5105869481451917,65.64783111288504,45,8,-16.870433777422992
2515.125,252.78647008918844,20.5,0.1851042002548241,2.5114929995752933,65.1042002548241,45,8,-16.979159949035182
2515.25,252.6080919174381,20.5,0.18459454833553735,2.5123424194407713,64.59454833553737,45,8,-17.081090332892526
2515.375,252.44284439486657,20.5,0.18412241255676162,2.5131293124053973,64.12241255676163,45,8,-17.175517488647674
2515.5,252.29187440977498,20.5,0.18369106974221422,2.5138482170963097,63.691069742214204,45,8,-17.26178605155716
2515.625,252.15622975826344,20.5,0.18330351359503838,2.5144941440082693,63.3035135950384,45,8,-17.33929728099232
2515.75,252.03685187207932,20.5,0.18296243392022665,2.5150626101329556,62.96243392022664,45,8,-17.407513215954673
2515.875,251.9345692846792,20.5,0.1826701979562263,2.5155496700729563,62.67019795622632,45,8,-17.465960408754736
2516.0,251.8500918808533,20.5,0.18242883394529513,2.515951943424508,62.42883394529514,45,8,-17.514233210940972
2516.125,251.7840059698221,20.5,0.18224001705663456,2.5162666382389425,62.24001705663457,45,8,-17.551996588673084
2516.25,251.73677021600034,20.5,0.182105057760001,2.5164915703999986,62.105057760001,45,8,-17.578988447999798
2516.375,251.7087124556703,20.5,0.18202489273048655,2.5166251787825225,62.024892730486556,45,8,-17.59502145390269
2516.5,251.70002742165804,20.5,0.18200007834759438,2.516666536087343,62.000078347594375,45,8,-17.599984330481124
2516.625,251.71077539180462,20.5,0.1820307868337275,2.516615355277121,62.030786833727504,45,8,-17.5938426332545
2516.75,251.7408817706122,20.5,0.182116805058892,2.5164719915685136,62.11680505889199,45,8,-17.576638988221603
2516.875,251.79013760696847,20.5,0.1822575360199099,2.516237439966817,62.25753601990991,45,8,-17.548492796018017
2517.0,251.85820104435663,20.5,0.18245200298387612,2.5159133283602064,62.45200298387612,45,8,-17.509599403224776
2517.125,251.94459969348546,20.5,0.1826988562671013,2.515501906221498,62.69885626710131,45,8,-17.460228746579737
2517.25,252.0487339108724,20.5,0.18299638260249257,2.515006028995846,62.996382602492574,45,8,-17.400723479501487
2517.375,252.16988096062525,20.5,0.18334251703035787,2.514429138282737,63.34251703035788,45,8,-17.331496593928424
2517.5,252.30720003053756,20.5,0.1837348572301073,2.5137752379498215,63.73485723010728,45,8,-17.253028553978545
2517.625,252.45973806768393,20.5,0.18417068019338262,2.5130488663443624,64.17068019338264,45,8,-17.165863961323474
2517.75,252.62643639301405,20.5,0.18464696112289725,2.5122550647951716,64.64696112289724,45,8,-17.07060777542055
2517.875,252.80613804903675,20.5,0.1851603944258193,2.5113993426236347,65.1603944258193,45,8,-16.967921114836138
2518.0,252.9975958295988,20.5,0.18570741665599652,2.5104876389066724,65.70741665599652,45,8,-16.858516668800696
2518.125,253.19948093602733,20.5,0.18628423124579235,2.509526281257013,66.28423124579237,45,8,-16.743153750841525
2518.25,253.41039219955982,20.5,0.1868868348558852,2.5085219419068583,66.88683485588521,45,8,-16.622633028822957
2518.375,253.62886580605283,20.5,0.187511045160151,2.5074815913997486,67.51104516015099,45,8,-16.497790967969802
2518.5,253.8533854554767,20.5,0.18815252987279063,2.5064124502120158,68.15252987279065,45,8,-16.36949402544187
2518.625,254.08239288568464,20.5,0.18880683681624183,2.505321938639597,68.80683681624184,45,8,-16.238632636751632
2518.75,254.31429868741662,20.5,0.1894694248211904,2.504217625298016,69.4694248211904,45,8,-16.10611503576192
2518.875,254.54749333547792,20.5,0.19013569524422266,2.5031071745929623,70.13569524422267,45,8,-15.972860951155464
2519.0,254.7803583595304,20.5,0.1908010238843726,2.5019982935260456,70.80102388437258,45,8,-15.839795223125483
2519.125,255.0112775769672,20.5,0.19146079307704905,2.5008986782049183,71.46079307704908,45,8,-15.707841384590186
2519.25,255.23864830990934,20.5,0.19211042374259812,2.4998159604290033,72.11042374259814,45,8,-15.577915251480372
2519.375,255.46089250847422,20.5,0.19274540716706917,2.4987576547215515,72.74540716706917,45,8,-15.450918566586164
2519.5,255.67646770311458,20.5,0.1933613362946131,2.497731106175645,73.36133629461312,45,8,-15.327732741077375
2519.625,275.13387771001555,20.5,0.24895393631433013,2.40507677280945,128.95393631433015,4,8,-4.209212737133971
2519.75,275.3316830152483,20.5,0.24951909432928093,2.404134842784532,129.51909432928093,4,8,-4.096181134143812
2519.875,275.51851076561104,20.5,0.2500528879017459,2.4032451868304237,130.05288790174592,4,8,-3.989422419650815
