TOP_pre	BOTTOM_pre	Fluid_KNN
1500	1526.625	Non-Reservoir
1526.625	1541.625	Oil-Water-Layer
1541.625	1552.5	Oil-Water-Layer
1552.5	1558	Oil-Bearing-Water-Layer
1558	1572.125	Oil-Bearing-Water-Layer
1572.125	1577.625	Non-Reservoir
1577.625	1589.375	Non-Reservoir
1589.375	1600.25	Non-Reservoir
1600.25	1621.125	Water-Layer
1621.125	1648.875	Non-Reservoir
1648.875	1672.5	Oil-Layer
1672.5	1674.75	Oil-Bearing-Water-Layer
1674.75	1701.625	Water-Layer
1701.625	1725.625	Non-Reservoir
1725.625	1763.625	Water-Layer
