TOP_pre,BOTTOM_pre,lithology_2DCNN,
1500,1526.125,Shale,ƒ‡—“
1526.125,1552.375,Fine Sandstone,œ∏…∞—“
1552.375,1571.625,Siltstone,∑€…∞—“
1571.625,1597.625,Shale,ƒ‡—“
1597.625,1599.875,Shale,ƒ‡—“
1599.875,1612.125,Fine Sandstone,œ∏…∞—“
1612.125,1620.625,Fine Sandstone,œ∏…∞—“
1620.625,1648.375,Shale,ƒ‡—“
1648.375,1651.375,Fine Sandstone,œ∏…∞—“
1651.375,1653.875,Medium Sandstone,÷–…∞—“
1653.875,1656.125,Fine Sandstone,œ∏…∞—“
1656.125,1664.375,Fine Sandstone,œ∏…∞—“
1664.375,1668.25,Fine Sandstone,œ∏…∞—“
1668.25,1671,Medium Sandstone,÷–…∞—“
1671,1674.75,Siltstone,ƒ‡—“
1674.75,1676.375,Fine Sandstone,œ∏…∞—“
1676.375,1679.75,Siltstone,∑€…∞—“
1679.75,1681.25,Fine Sandstone,œ∏…∞—“
1681.25,1683.375,Fine Sandstone,œ∏…∞—“
1683.375,1686.375,Fine Sandstone,œ∏…∞—“
1686.375,1688.5,Fine Sandstone,œ∏…∞—“
1688.5,1701.125,Siltstone,ƒ‡—“
1701.125,1724.875,Shale,ƒ‡—“
1724.875,1729.625,Fine Sandstone,œ∏…∞—“
1729.625,1732.125,Fine Sandstone,œ∏…∞—“
1732.125,1735.375,Fine Sandstone,œ∏…∞—“
1735.375,1762.625,Shale,ƒ‡—“
