TOP_ture,BOTTOM_ture,lithology_ture,
1500,1526.125,Shale,ÄàÑÒ
1526.125,1552,Fine Sandstone,Ï¸É°ÑÒ
1552,1571.625,Siltstone,·ÛÉ°ÑÒ
1571.625,1599.75,Shale,ÄàÑÒ
1599.75,1620.625,Fine Sandstone,Ï¸É°ÑÒ
1620.625,1648.375,Shale,ÄàÑÒ
1648.375,1650.875,Fine Sandstone,Ï¸É°ÑÒ
1650.875,1654.375,Medium Sandstone,ÖĞÉ°ÑÒ
1654.375,1656.125,Fine Sandstone,Ï¸É°ÑÒ
1656.125,1665.25,Fine Sandstone,Ï¸É°ÑÒ
1665.25,1668.25,Fine Sandstone,Ï¸É°ÑÒ
1668.25,1671,Medium Sandstone,ÖĞÉ°ÑÒ
1671,1674,Siltstone,·ÛÉ°ÑÒ
1674,1676.5,Fine Sandstone,Ï¸É°ÑÒ
1676.5,1688.625,Fine Sandstone,Ï¸É°ÑÒ
1688.625,1701.125,Siltstone,·ÛÉ°ÑÒ
1701.125,1724.875,Shale,ÄàÑÒ
1724.875,1733,Fine Sandstone,ÄàÑÒ
1733,1762.625,Fine Sandstone,ÄàÑÒ
