#DEPTH,POR,Vma,Vsh,Sw,Sh,Sxo,Vma1,Vma2,Vma3,Shm,Shr,DEN,AC,CNL,RT,RXO,GR,SP,CAL,Vsh_multi,POR_multi,Sw_multi
1500,2.656224762,13.76869232,83.57508292,92.07100642,7.928993577,93.34997105,13.17391674,0.581006886,0.013768692,1.278964631,6.650028945,2.30604025,235.1068108,31.06243667,0.600833374,0.599028526,165.4051519,63.60788684,21.94720363,81.81853294,3.068928421,86.72093749
1500.125,2.578361185,14.9400586,82.48158022,91.58952811,8.410471888,92.86773346,14.29468271,0.630435826,0.014940059,1.278205349,7.132266539,2.046904483,225.2943124,31.06243667,0.600833374,0.599028526,138.6237863,64.99199646,22.05868366,83.91172886,1.327048987,89.04399276
1500.25,2.611460491,12.79941762,84.58912189,92.18909941,7.810900594,93.44287525,12.24651246,0.540105741,0.012799418,1.253775841,6.557124754,2.566909705,219.6851187,31.16753065,0.599015877,0.597095278,157.9822973,64.91772074,22.11361278,84.5927,1.527142525,89.63128328
1500.375,2.551563275,12.62312094,84.82531579,92.48798702,7.512012983,93.7676791,12.07783139,0.53266643,0.012623121,1.279692082,6.232320901,2.628101575,229.0796436,31.374598,0.591498711,0.589873829,138.7750937,64.9642547,22.09621462,84.83530283,2.511794865,87.78812885
1500.5,2.625743569,11.46099579,85.91326064,94.20195241,5.798047592,95.44930397,10.96590735,0.483627444,0.011460996,1.247351564,4.550696028,2.711909665,238.8634686,31.78481967,0.576412354,0.575434326,154.9371813,64.0834838,22.15442247,86.14940047,1.198504865,90.11793137
1500.625,2.60873894,10.28583419,87.10542687,95.92579362,4.074206385,97.17058998,9.841510008,0.43403835,0.010285834,1.244796365,2.829410019,2.689811955,215.7782769,31.93287726,0.57050638,0.569792116,162.9297187,67.48257629,22.02338329,87.0234251,1.270458102,89.56833482
1500.75,2.602682974,11.12344151,86.27387552,94.06905159,5.930948414,95.28851221,10.64293463,0.469383436,0.011123442,1.219460628,4.711487786,2.657379637,238.6049903,31.96005061,0.571337901,0.57071071,147.3460334,64.98681741,22.13110265,86.28100753,1.408404112,90.34225941
1500.875,2.529730385,12.38761915,85.08265046,91.66315546,8.336844536,92.86084639,11.85250273,0.522728801,0.012387619,1.197690929,7.139153606,2.637771905,222.0086751,31.85022362,0.57942265,0.578395792,144.5778131,66.38421599,21.88162988,85.97479463,1.109836251,90.4165864
1501,2.472874564,12.93443905,84.59268638,90.69599142,9.304008579,91.92309126,12.37570128,0.545803332,0.012934439,1.227099837,8.076908742,2.639788886,225.0714727,31.64380706,0.593329734,0.591694199,167.0301523,65.01478819,22.15601918,84.65168476,0.968083739,90.49838781
1501.125,2.486756423,12.88976044,84.62348314,89.85245572,10.14754428,91.09633903,12.33295268,0.543917999,0.01288976,1.243883304,8.903660974,2.557974411,209.2853631,31.33740818,0.604756609,0.602630682,165.5129038,64.85433186,21.84505584,84.30901766,0.905180722,89.62852955
1501.25,2.522160858,14.64388933,82.83394982,90.92636476,9.073635239,92.14338633,14.01130727,0.61793817,0.014643889,1.217021569,7.85661367,2.489901086,217.7731213,31.1033176,0.614725522,0.612255368,155.3688953,64.88038714,21.91496349,83.59125853,1.851906627,87.48449087
1501.375,2.483809104,15.08220781,82.43398309,88.74125003,11.25874997,89.92634354,14.43069141,0.636434193,0.015082208,1.185093515,10.07365646,2.505272604,229.8798695,31.04392598,0.619681536,0.617148558,155.307732,64.51891399,22.04959867,81.92167282,2.666660398,86.34012938
1501.5,2.537245393,13.6199264,83.84282821,88.48725945,11.51274055,89.703641,13.03157716,0.574729309,0.013619926,1.216381549,10.296359,2.567478118,227.5446913,30.80751458,0.624517518,0.62191719,161.8255691,64.24392179,22.07168391,81.82196617,2.073594928,86.29046679
1501.625,2.503966721,15.43046475,82.06556853,89.93563128,10.06436872,91.12205809,14.76390446,0.651129829,0.015430465,1.186426813,8.877941908,2.5406375,216.0854047,30.91485093,0.624496316,0.621870376,150.5817832,64.1880719,22.03310314,84.16569233,0.913091749,88.7909174
1501.75,2.46856137,13.58163609,83.94980254,89.66533543,10.33466457,90.87893059,12.99494091,0.573113547,0.013581636,1.213595162,9.121069412,2.543971006,210.3674185,30.91471616,0.618518217,0.615967849,162.9514463,65.2307047,22.02098439,84.01261568,0.899317861,90.0750339
1501.875,2.451823117,14.96101414,82.58716274,92.23020768,7.769792317,93.44363882,14.31473302,0.631320101,0.014961014,1.213431135,6.556361182,2.569356168,217.4993334,30.85327064,0.613624702,0.611035027,153.2290598,64.87833568,22.00043314,83.04359913,1.496170461,90.09997249
1502,2.404262458,14.23493845,83.36079909,92.21373912,7.786260882,93.44133698,13.62002212,0.600681391,0.014234938,1.227597865,6.558663017,2.568148785,228.4579439,30.83698961,0.606289387,0.603697997,145.8032168,65.23230323,21.84964342,83.01998973,0.980991125,89.85261321
1502.125,2.400298144,15.49585409,82.10384777,94.61018595,5.389814052,95.85122754,14.82646913,0.653889107,0.015495854,1.241041597,4.148772455,2.525478643,219.5438296,30.83693309,0.596006363,0.593507545,154.0330904,65.2777193,23.19492873,84.11312103,0.898315012,90.76435566
1502.25,2.362385128,13.40329851,84.23431636,96.15055475,3.849445249,97.40773691,12.8243071,0.565588114,0.013403299,1.25718216,2.592263089,2.5158814,230.4642555,31.09993666,0.583078904,0.580834273,167.7331272,66.21634041,23.07301146,84.5549643,1.476031542,89.35539722
1502.375,2.366739146,11.98306888,85.65019197,97.285819,2.714181005,98.53775946,11.46542809,0.505657717,0.011983069,1.251940461,1.462240544,2.539429369,227.4411376,31.2093203,0.574961587,0.572834773,163.3955493,65.98211589,22.96372803,81.92111254,1.100494713,91.60363674
1502.5,2.34218183,12.94941728,84.70840089,96.05402471,3.945975287,97.31876606,12.39003248,0.546435379,0.012949417,1.264741344,2.681233942,2.542291866,216.0102405,31.49691162,0.56588149,0.564018693,153.4197684,66.76820264,23.02999153,85.79528332,0.835791975,89.60088491
1502.625,2.384189355,12.30896804,85.3068426,96.84636963,3.153630365,98.09778544,11.77724917,0.519409906,0.012308968,1.251415806,1.902214559,2.52688398,212.3090209,31.71593068,0.558094395,0.556448293,147.5600297,65.65878426,21.92842374,85.61617136,1.135344803,91.12727046
1502.75,2.329185926,10.96262018,86.7081939,98.71424459,1.285755412,99.99,10.48906041,0.462597149,0.01096262,1.275755412,0.01,2.558106611,238.6750338,31.93522325,0.552032761,0.550609934,150.1260215,66.15080505,22.16556468,85.73168516,2.190502733,91.44151211
