#DEPTH,lithology,lithology_CNN,CASE,Fluid_KNN
1500,Shale,Shale,Non-Reservoir,Non-Reservoir
1500.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1500.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1500.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1500.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1500.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1500.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1500.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1501,Shale,Shale,Non-Reservoir,Non-Reservoir
1501.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1501.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1501.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1501.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1501.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1501.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1501.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1502,Shale,Shale,Non-Reservoir,Non-Reservoir
1502.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1502.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1502.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1502.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1502.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1502.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1502.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1503,Shale,Shale,Non-Reservoir,Non-Reservoir
1503.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1503.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1503.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1503.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1503.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1503.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1503.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1504,Shale,Shale,Non-Reservoir,Non-Reservoir
1504.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1504.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1504.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1504.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1504.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1504.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1504.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1505,Shale,Shale,Non-Reservoir,Non-Reservoir
1505.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1505.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1505.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1505.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1505.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1505.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1505.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1506,Shale,Shale,Non-Reservoir,Non-Reservoir
1506.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1506.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1506.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1506.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1506.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1506.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1506.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1507,Shale,Shale,Non-Reservoir,Non-Reservoir
1507.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1507.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1507.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1507.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1507.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1507.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1507.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1508,Shale,Shale,Non-Reservoir,Non-Reservoir
1508.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1508.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1508.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1508.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1508.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1508.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1508.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1509,Shale,Shale,Non-Reservoir,Non-Reservoir
1509.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1509.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1509.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1509.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1509.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1509.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1509.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1510,Shale,Shale,Non-Reservoir,Non-Reservoir
1510.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1510.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1510.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1510.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1510.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1510.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1510.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1511,Shale,Shale,Non-Reservoir,Non-Reservoir
1511.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1511.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1511.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1511.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1511.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1511.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1511.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1512,Shale,Shale,Non-Reservoir,Non-Reservoir
1512.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1512.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1512.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1512.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1512.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1512.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1512.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1513,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1513.375,Shale,Shale,Non-Reservoir,Non-Reservoir
